Channel,Area
CH1,lCFA
CH2,lCFA
CH3,lCFA
CH4,lCFA
CH5,lCFA
CH6,lSTR
CH7,lSTR
CH8,lSTR
CH9,lSTR
CH10,lSTR
CH11,lSTR
CH12,lSTR
CH13,lCFA
CH14,lCFA
CH15,lCFA
CH16,lCFA
CH17,rCFA
CH18,rCFA
CH19,rCFA
CH20,rCFA
CH21,rSTR
CH22,rSTR
CH23,rSTR
CH24,rSTR
CH25,rSTR
CH26,rSTR
CH27,rSTR
CH28,rCFA
CH29,rCFA
CH30,rCFA
CH31,rCFA
CH32,rCFA
CH33,rPF
CH34,lPf
CH35,lPf
CH36,lPf
CH37,lVPL
CH38,lVPL
CH39,
CH40,
CH41,
CH42,
CH43,lVPL
CH44,lVPL
CH45,lPf
CH46,lPf
CH47,lPf
CH48,lPf
CH49,rPF
CH50,rPF
CH51,rPF
CH52,rVPL
CH53,rVPL
CH54,
CH55,
CH56,
CH57,
CH58,
CH59,
CH60,rVPL
CH61,rVPL
CH62,rPF
CH63,rPF
CH64,rPF
